articy_id,conversation_id,entry_id,conversation,actor,field,ja
0x0100005200050E44,433,4,Rizia/Turn 9/FPnT_GRACERumburgMeeting,Narrator,en,ベアトリス女王は私をデイトフォートにある自分の田舎の別荘に招き、二人だけで話をする機会を設けてくれたが、その話し合いの内容については何も教えてくれなかった。
0x0100005200050E50,433,5,Rizia/Turn 9/FPnT_GRACERumburgMeeting,Narrator,en,ブランブルトン・マナーの茶室にある大時計が、一連の低く響き渡る鐘の音を発した。
0x0100005200050E5D,433,9,Rizia/Turn 9/FPnT_GRACERumburgMeeting,Narrator,en,我々の国の過去数年間の関係を振り返ってみると、彼女が何について話したいのか予想がついた。
0x0100005200050E6A,433,13,Rizia/Turn 9/FPnT_GRACERumburgMeeting,Narrator,en,パレスでの戦争が長引き続けている様子を振り返っていると、彼女が何について話したいのか私にはだんだん見当がついてきた。
0x0100005200050E77,433,17,Rizia/Turn 9/FPnT_GRACERumburgMeeting,Narrator,en,国際連盟での出来事を振り返っていると、私は彼女が何について話したいのか予想がつき始めた。
0x0100005200050E7E,433,18,Rizia/Turn 9/FPnT_GRACERumburgMeeting,Narrator,en,私は彼女が何について話したいのか気にしなかった。首都を離れて義姉に会えることを嬉しく思っていた。
0x0100005200050E85,433,19,Rizia/Turn 9/FPnT_GRACERumburgMeeting,Narrator,en,時計の五回目の鐘の音が鳴るやいなや、ルンブルクの女王が側近たちに囲まれて戸口に現れた。
0x0100005200050E8F,433,20,Rizia/Turn 9/FPnT_GRACERumburgMeeting,Narrator,en,私は目の前のテーブルを見下ろした。白い磁器製の皿とティーカップの周りには、引き出し一つ分ほどの量の銀食器が置かれていた。
0x0100005200050E9B,433,24,Rizia/Turn 9/FPnT_GRACERumburgMeeting,Narrator,en,私は故妻がルンブルクの高級ティータイムの作法について親切に教えてくれたことを思い出した。
0x0100005200050EA2,433,25,Rizia/Turn 9/FPnT_GRACERumburgMeeting,Narrator,en,最も外側にあったスプーンはスコーンにジャムを塗るためのもので、真ん中のスプーンはお茶をかき混ぜる専用のものであり、一番内側にあったスプーンはプティ・フールを食べるためのものだった。
0x0100005200050EAF,433,29,Rizia/Turn 9/FPnT_GRACERumburgMeeting,Narrator,en,私が出発する前に、パベルはルンブルク流の高級ティータイムの作法について、丁寧に私に教えてくれた。
0x0100005200050EB7,433,30,Rizia/Turn 9/FPnT_GRACERumburgMeeting,Narrator,en,私がルンブルクで何度高級なティータイムを過ごしたとしても、どのスプーンを何に使うべきか全く見当がつかなかった。
0x0100005200050EC1,433,31,Rizia/Turn 9/FPnT_GRACERumburgMeeting,Player_Romus_Italic,en,私は挨拶のために席から立ち上がった。
0x0100005200050EC1,433,31,Rizia/Turn 9/FPnT_GRACERumburgMeeting,Player_Romus_Italic,Menu Text en,立ち上がって彼女を迎える
0x0100005200050EC9,433,32,Rizia/Turn 9/FPnT_GRACERumburgMeeting,Player_Romus_Italic,en,彼女がテーブルに近づいてくる間、私はその場に座ったままだった。
0x0100005200050EC9,433,32,Rizia/Turn 9/FPnT_GRACERumburgMeeting,Player_Romus_Italic,Menu Text en,そのまま座っている
0x0100005200050ED7,433,36,Rizia/Turn 9/FPnT_GRACERumburgMeeting,Narrator,en,彼女は威厳のあるうなずきで私に挨拶を返した。我々二人とも再び座った。
0x0100005200050EDE,433,37,Rizia/Turn 9/FPnT_GRACERumburgMeeting,Beatrice Livingston (R),en,「まあ、陛下。ここにいるのは我々二人だけですよ。」
0x0100005200050EE5,433,38,Rizia/Turn 9/FPnT_GRACERumburgMeeting,Narrator,en,彼女は私に座るよう手振りで示し、その後自分も私の向かい側に腰を下ろした。
0x0100005200050EF1,433,42,Rizia/Turn 9/FPnT_GRACERumburgMeeting,Beatrice Livingston (R),en,「女王様がお見えになってももう立ち上がらないのですか？陛下、本当に変わられましたね。」
0x0100005200050EF7,433,43,Rizia/Turn 9/FPnT_GRACERumburgMeeting,Beatrice Livingston (R),en,「陛下、お目にかかれて誠に光栄です。」
0x0100005200050F00,433,44,Rizia/Turn 9/FPnT_GRACERumburgMeeting,Narrator,en,厳しい表情を浮かべながら、彼女は私の向かいに座った。
0x0100005200050F07,433,45,Rizia/Turn 9/FPnT_GRACERumburgMeeting,Narrator,en,彼女は微笑み、私の向かいに座った。
0x0100005200050F0E,433,46,Rizia/Turn 9/FPnT_GRACERumburgMeeting,Narrator,en,白い手袋をはめた給仕がやってきて、我々二人にお茶を注ぎ、その後小さな砂糖入れを置いていった。
