type,item_id,name_in_database,path,ja
CarouselChoicePageData,0x01000067000000D4,Page_Budget_Education,CarouselChoicePageProperties.Title,III. 教育
CarouselChoicePageData,0x0100006700000093,Page_Budget_Healthcare,CarouselChoicePageProperties.Title,I. 医療
CarouselChoicePageData,0x01000067000000F3,Page_Budget_Military,CarouselChoicePageProperties.Title,IV. 軍事
CarouselChoicePageData,0x01000067000000B5,Page_Budget_Security,CarouselChoicePageProperties.Title,II: 法と秩序
CarouselChoicePageData,0x010000C50000065C,Page_CampaignPromise,CarouselChoicePageProperties.Title,選挙公約
CarouselChoicePageData,0x010000C500000742,Page_CrownPrinceFocus,CarouselChoicePageProperties.Title,皇太子として重んじたこと
CarouselChoicePageData,0x010000C5000006EE,Page_DiversityOrNationalism,CarouselChoicePageProperties.Title,多様性か民族主義か
CarouselChoicePageData,0x010000C5000006B6,Page_DukeValenqiris,CarouselChoicePageProperties.Title,ヴァレンキリス公としての治世
CarouselChoicePageData,0x010000C50000067E,Page_Education,CarouselChoicePageProperties.Title,学びの道
CarouselChoicePageData,0x010000C5000005EC,Page_Extracurricular,CarouselChoicePageProperties.Title,課外活動
CarouselChoicePageData,0x0100006A0001C732,Page_Family,CarouselChoicePageProperties.Title,家族
CarouselChoicePageData,0x010000C50000070A,Page_FamilyBoatTrip,CarouselChoicePageProperties.Title,家族で船旅に出る
CarouselChoicePageData,0x0100008E00002CD5,Page_FocusPanel_MilitaryBranchFocus,CarouselChoicePageProperties.Title,軍務の専門
CarouselChoicePageData,0x010000C70000054B,Page_FormativeYearsAnton,CarouselChoicePageProperties.Title,人となりを形づくった歳月
CarouselChoicePageData,0x010000C70000052E,Page_FormativeYearsRomus,CarouselChoicePageProperties.Title,人となりを形づくった歳月
CarouselChoicePageData,0x010000C700000353,Page_Kidnapping,CarouselChoicePageProperties.Title,覆面の男たちによる誘拐
CarouselChoicePageData,0x01000067000001A7,Page_Nationalization_BergiaSteel,CarouselChoicePageProperties.Title,II. ベルギア製鉄
CarouselChoicePageData,0x01000067000001FE,Page_Nationalization_HOS,CarouselChoicePageProperties.Title,I. ハート・オブ・ソードランド
CarouselChoicePageData,0x010000C500000624,Page_OppositionUSP,CarouselChoicePageProperties.Title,統一ソードランド党内の反対勢力
CarouselChoicePageData,0x010000C500000772,Page_PalesRelations,CarouselChoicePageProperties.Title,パレスとの関係
CarouselChoicePageData,0x010000670000014A,Page_Privatization_Nedam,CarouselChoicePageProperties.Title,II. ネダム鉱業公社
CarouselChoicePageData,0x0100006700000123,Page_Privatization_SSC,CarouselChoicePageProperties.Title,I. ソードランド国営公社
CarouselChoicePageData,0x0100005D000004EA,Page_PromisesPanel_Focus,CarouselChoicePageProperties.Title,任期の重点
CarouselChoicePageData,0x010000C50000069A,Page_ReclamationWarProtests,CarouselChoicePageProperties.Title,失地回復戦争への抗議
CarouselChoicePageData,0x010000C50000078E,Page_RelationshipFather,CarouselChoicePageProperties.Title,父との関係
CarouselChoicePageData,0x0100006A0001C70A,Page_RelationshipToPanel,CarouselChoicePageProperties.Title,パベルとの関係
CarouselChoicePageData,0x010000C500000726,Page_Religious,CarouselChoicePageProperties.Title,宗教
CarouselChoicePageData,0x010000C5000006D2,Page_RoyalFamily,CarouselChoicePageProperties.Title,家族との関係
CarouselChoicePageData,0x0100006A0001C6B4,Page_SummersInRizia,CarouselChoicePageProperties.Title,幼年期の夏
CarouselChoicePageData,0x010000C500000640,Page_TakePower,CarouselChoicePageProperties.Title,アルフォンソから権力を奪う
CarouselChoicePageData,0x0100006A0001C74B,Page_University,CarouselChoicePageProperties.Title,大学
CarouselChoicePageData,0x010000C500000608,Page_YouthOrganization,CarouselChoicePageProperties.Title,青年組織に加わる
