type,item_id,name_in_database,path,ja
CharacterDetailsSectionData,0x0100006C00000494,AntonRayne_Affiliations,CharacterDetailsSectionProperties.Title,所属
CharacterDetailsSectionData,0x0100006C00000494,AntonRayne_Affiliations,CharacterDetailsSectionProperties.SectionValues[0].Value,USP
CharacterDetailsSectionData,0x0100006C00000494,AntonRayne_Affiliations,CharacterDetailsSectionProperties.SectionValues[1].Value,USP（元）
CharacterDetailsSectionData,0x0100006C00000494,AntonRayne_Affiliations,CharacterDetailsSectionProperties.SectionValues[2].Value,CPS
CharacterDetailsSectionData,0x0100006C00000494,AntonRayne_Affiliations,CharacterDetailsSectionProperties.SectionValues[3].Value,NFP
CharacterDetailsSectionData,0x0100006C00000494,AntonRayne_Affiliations,CharacterDetailsSectionProperties.SectionValues[4].Value,PF
CharacterDetailsSectionData,0x0100006C00000494,AntonRayne_Affiliations,CharacterDetailsSectionProperties.SectionValues[5].Value,PFJP
CharacterDetailsSectionData,0x0100006C00000494,AntonRayne_Affiliations,CharacterDetailsSectionProperties.SectionValues[6].Value,WPB
CharacterDetailsSectionData,0x0100006C00000494,AntonRayne_Affiliations,CharacterDetailsSectionProperties.SectionValues[7].Value,DP
CharacterDetailsSectionData,0x0100006C00000494,AntonRayne_Affiliations,CharacterDetailsSectionProperties.SectionValues[8].Value,LP
CharacterDetailsSectionData,0x0100006C00000494,AntonRayne_Affiliations,CharacterDetailsSectionProperties.SectionValues[9].Value,MP
CharacterDetailsSectionData,0x0100006C00000494,AntonRayne_Affiliations,CharacterDetailsSectionProperties.SectionValues[10].Value,PP
CharacterDetailsSectionData,0x0100006C00000494,AntonRayne_Affiliations,CharacterDetailsSectionProperties.SectionValues[11].Value,SPP
CharacterDetailsSectionData,0x0100006C00000494,AntonRayne_Affiliations,CharacterDetailsSectionProperties.SectionValues[12].Value,FCアンリカ
CharacterDetailsSectionData,0x0100006C00000494,AntonRayne_Affiliations,CharacterDetailsSectionProperties.SectionValues[13].Value,アンダーホール建設
CharacterDetailsSectionData,0x0100006C00000494,AntonRayne_Affiliations,CharacterDetailsSectionProperties.SectionValues[14].Value,レイン・ワイン
CharacterDetailsSectionData,0x0100006C00000494,AntonRayne_Affiliations,CharacterDetailsSectionProperties.SectionValues[15].Value,アルマディン工業
CharacterDetailsSectionData,0x0100006C00000494,AntonRayne_Affiliations,CharacterDetailsSectionProperties.SectionValues[16].Value,赤旗青年団（元）
CharacterDetailsSectionData,0x0100006C00000494,AntonRayne_Affiliations,CharacterDetailsSectionProperties.SectionValues[17].Value,ソード青年団（元）
CharacterDetailsSectionData,0x0100006C00000488,AntonRayne_AlmaMater,CharacterDetailsSectionProperties.Title,出身校
CharacterDetailsSectionData,0x0100006C00000488,AntonRayne_AlmaMater,CharacterDetailsSectionProperties.SectionValues[0].Value,1930年 ホルソード国立大学 法学
CharacterDetailsSectionData,0x0100006C00000488,AntonRayne_AlmaMater,CharacterDetailsSectionProperties.SectionValues[1].Value,1930年 ラハベン商科大学 経済学
CharacterDetailsSectionData,0x0100006C00000488,AntonRayne_AlmaMater,CharacterDetailsSectionProperties.SectionValues[2].Value,1930年 デイル文化大学 歴史学
CharacterDetailsSectionData,0x0100006A0000E280,AntonRayne_AssumedOffice,CharacterDetailsSectionProperties.Title,就任
CharacterDetailsSectionData,0x0100006A0000E280,AntonRayne_AssumedOffice,CharacterDetailsSectionProperties.SectionValues[0].Value,1954
CharacterDetailsSectionData,0x0100006C000003BC,AntonRayne_Born,CharacterDetailsSectionProperties.Title,生誕
CharacterDetailsSectionData,0x0100006C000003BC,AntonRayne_Born,CharacterDetailsSectionProperties.SectionValues[0].Value,1908年 デイル
CharacterDetailsSectionData,0x0100006C000003BC,AntonRayne_Born,CharacterDetailsSectionProperties.SectionValues[1].Value,1908年 ホルソード
CharacterDetailsSectionData,0x0100006C000003BC,AntonRayne_Born,CharacterDetailsSectionProperties.SectionValues[2].Value,1908年 ラハベン
CharacterDetailsSectionData,0x0100006A0000E278,AntonRayne_Children,CharacterDetailsSectionProperties.Title,子女
CharacterDetailsSectionData,0x0100006A0000E278,AntonRayne_Children,CharacterDetailsSectionProperties.SectionValues[0].Value,フランク・レイン、ディアナ・レイン
CharacterDetailsSectionData,0x0100006A0000E2A7,AntonRayne_Died,CharacterDetailsSectionProperties.Title,死没
CharacterDetailsSectionData,0x0100006A0000E2A7,AntonRayne_Died,CharacterDetailsSectionProperties.SectionValues[0].Value,1958年 ホルソード
CharacterDetailsSectionData,0x0100006C00000490,AntonRayne_InOffice,CharacterDetailsSectionProperties.Title,在任
CharacterDetailsSectionData,0x0100006C00000490,AntonRayne_InOffice,CharacterDetailsSectionProperties.SectionValues[0].Value,1954-1958
CharacterDetailsSectionData,0x0100006A0000E288,AntonRayne_PrecededBy,CharacterDetailsSectionProperties.Title,前任
CharacterDetailsSectionData,0x0100006A0000E288,AntonRayne_PrecededBy,CharacterDetailsSectionProperties.SectionValues[0].Value,エヴァルト・アルフォンソ
CharacterDetailsSectionData,0x0100006C0000048C,AntonRayne_Spouse,CharacterDetailsSectionProperties.Title,配偶者
CharacterDetailsSectionData,0x0100006C0000048C,AntonRayne_Spouse,CharacterDetailsSectionProperties.SectionValues[0].Value,モニカ・レイン
CharacterDetailsSectionData,0x0100006C0000048C,AntonRayne_Spouse,CharacterDetailsSectionProperties.SectionValues[1].Value,モニカ・レイン（元）
CharacterDetailsSectionData,0x0100006C00000484,AntonRayne_SuccededBy,CharacterDetailsSectionProperties.Title,後任
CharacterDetailsSectionData,0x0100006C00000484,AntonRayne_SuccededBy,CharacterDetailsSectionProperties.SectionValues[0].Value,フレンス・リクター
CharacterDetailsSectionData,0x0100006C00000484,AntonRayne_SuccededBy,CharacterDetailsSectionProperties.SectionValues[1].Value,ケサロ・キベナー
CharacterDetailsSectionData,0x0100006C00000484,AntonRayne_SuccededBy,CharacterDetailsSectionProperties.SectionValues[2].Value,リリアス・グラーフ
CharacterDetailsSectionData,0x0100006C00000484,AntonRayne_SuccededBy,CharacterDetailsSectionProperties.SectionValues[3].Value,マノリー・スハイル
CharacterDetailsSectionData,0x0100006C00000484,AntonRayne_SuccededBy,CharacterDetailsSectionProperties.SectionValues[4].Value,マンスン・レケ
CharacterDetailsSectionData,0x0100006C00000484,AntonRayne_SuccededBy,CharacterDetailsSectionProperties.SectionValues[5].Value,レムス・ホルストロン
CharacterDetailsSectionData,0x0100006C00000484,AntonRayne_SuccededBy,CharacterDetailsSectionProperties.SectionValues[6].Value,ヨセフ・ランチェア
CharacterDetailsSectionData,0x0100006C00000484,AntonRayne_SuccededBy,CharacterDetailsSectionProperties.SectionValues[7].Value,ヴァルケン・クルーガー
CharacterDetailsSectionData,0x0100006C00000484,AntonRayne_SuccededBy,CharacterDetailsSectionProperties.SectionValues[8].Value,ベアトリス・リヴィングストン
CharacterDetailsSectionData,0x0100006C00000484,AntonRayne_SuccededBy,CharacterDetailsSectionProperties.SectionValues[9].Value,アルビン・クラヴィン
CharacterDetailsSectionData,0x0100006C00000484,AntonRayne_SuccededBy,CharacterDetailsSectionProperties.SectionValues[10].Value,グロリア・トーリー
CharacterDetailsSectionData,0x0100006C00000484,AntonRayne_SuccededBy,CharacterDetailsSectionProperties.SectionValues[11].Value,ルシアン・ガラド
CharacterDetailsSectionData,0x0100006C00000484,AntonRayne_SuccededBy,CharacterDetailsSectionProperties.SectionValues[12].Value,ペトル・ベクターン
CharacterDetailsSectionData,0x0100006C00000480,AntonRayne_VicePresident,CharacterDetailsSectionProperties.Title,副大統領
CharacterDetailsSectionData,0x0100006C00000480,AntonRayne_VicePresident,CharacterDetailsSectionProperties.SectionValues[0].Value,ペトル・ベクターン
CharacterDetailsSectionData,0x0100006C00000480,AntonRayne_VicePresident,CharacterDetailsSectionProperties.SectionValues[1].Value,ペトル・ベクターン（54-57）
CharacterDetailsSectionData,0x0100006C00000480,AntonRayne_VicePresident,CharacterDetailsSectionProperties.SectionValues[2].Value,グロリア・トーリー（57年以降）
CharacterDetailsSectionData,0x0100006C00000480,AntonRayne_VicePresident,CharacterDetailsSectionProperties.SectionValues[3].Value,ルシアン・ガラド（57年以降）
CharacterDetailsSectionData,0x0100006C00000480,AntonRayne_VicePresident,CharacterDetailsSectionProperties.SectionValues[4].Value,アルビン・クラヴィン（57年以降）
CharacterDetailsSectionData,0x0100006C00000CE7,RomusToras_Affiliations,CharacterDetailsSectionProperties.Title,所属
CharacterDetailsSectionData,0x0100006C00000CE7,RomusToras_Affiliations,CharacterDetailsSectionProperties.SectionValues[0].Value,トラス家
CharacterDetailsSectionData,0x0100008E00002138,RomusToras_AlmaMatter,CharacterDetailsSectionProperties.Title,経歴
CharacterDetailsSectionData,0x0100008E00002138,RomusToras_AlmaMatter,CharacterDetailsSectionProperties.SectionValues[0].Value,1924年 王室評議会の個人教授
CharacterDetailsSectionData,0x0100008E00002138,RomusToras_AlmaMatter,CharacterDetailsSectionProperties.SectionValues[1].Value,1924年 イザ大学 歴史学・経済学・政治学
CharacterDetailsSectionData,0x0100008E00002138,RomusToras_AlmaMatter,CharacterDetailsSectionProperties.SectionValues[2].Value,1924年 カンプ・ドムス士官学校
CharacterDetailsSectionData,0x0100006C00000CCF,RomusToras_Born,CharacterDetailsSectionProperties.Title,生誕
CharacterDetailsSectionData,0x0100006C00000CCF,RomusToras_Born,CharacterDetailsSectionProperties.SectionValues[0].Value,1905年 モンキズ
CharacterDetailsSectionData,0x0100006C00000CD3,RomusToras_Children,CharacterDetailsSectionProperties.Title,子女
CharacterDetailsSectionData,0x0100006C00000CD3,RomusToras_Children,CharacterDetailsSectionProperties.SectionValues[0].Value,ヴィナ・{RiziaDLCText.VinaLastName}
CharacterDetailsSectionData,0x0100006C00000CD3,RomusToras_Children,CharacterDetailsSectionProperties.SectionValues[1].Value,ヴィナ・トラス（故人）
