type,item_id,name_in_database,path,ja
CodexTopicData,0x0100006A00008EEB,CodexTopic_Characters_Assembly,CodexTopicProperties.Title,議会
CodexTopicData,0x0100006A00008EEF,CodexTopic_Characters_Business,CodexTopicProperties.Title,経済界
CodexTopicData,0x0100006A00008EF3,CodexTopic_Characters_Cabinet,CodexTopicProperties.Title,内閣
CodexTopicData,0x0100006A00009540,CodexTopic_Characters_Council,CodexTopicProperties.Title,評議会
CodexTopicData,0x0100006A00008F03,CodexTopic_Characters_Family,CodexTopicProperties.Title,家族
CodexTopicData,0x0100006A00008F07,CodexTopic_Characters_ForeignLeaders,CodexTopicProperties.Title,外国首脳
CodexTopicData,0x0100006A00008EFF,CodexTopic_Characters_FormerPresidents,CodexTopicProperties.Title,歴代大統領
CodexTopicData,0x0100006A00008F0B,CodexTopic_Characters_Others,CodexTopicProperties.Title,その他
CodexTopicData,0x0100006A00008F0F,CodexTopic_Characters_PartyLeaders,CodexTopicProperties.Title,党首
CodexTopicData,0x0100006A00008EF7,CodexTopic_Characters_StateFigures,CodexTopicProperties.Title,政府要人
CodexTopicData,0x0100006A00008EFB,CodexTopic_Characters_SupremeCourt,CodexTopicProperties.Title,最高裁判所
CodexTopicData,0x0100006A00008F13,CodexTopic_History_Ideologies,CodexTopicProperties.Title,思想
CodexTopicData,0x0100006A00008F17,CodexTopic_History_ImportantEvents,CodexTopicProperties.Title,重要な出来事
CodexTopicData,0x010000650000BB98,CodexTopic_History_MiscHistory,CodexTopicProperties.Title,その他の歴史
CodexTopicData,0x0100006A00008F1B,CodexTopic_History_Religion,CodexTopicProperties.Title,宗教
CodexTopicData,0x0100006A00008F1F,CodexTopic_History_Timeline,CodexTopicProperties.Title,年表
CodexTopicData,0x0100006A00008F23,CodexTopic_Locations_Cities,CodexTopicProperties.Title,都市
CodexTopicData,0x0100006A00008F27,CodexTopic_Locations_Countries,CodexTopicProperties.Title,国家
CodexTopicData,0x0100006A00008F2B,CodexTopic_Locations_Landmarks,CodexTopicProperties.Title,名所
CodexTopicData,0x0100006A00008F2F,CodexTopic_Locations_Regions,CodexTopicProperties.Title,地方
CodexTopicData,0x0100006A00008F33,CodexTopic_Organisations_Corporations,CodexTopicProperties.Title,企業
CodexTopicData,0x0100006A00008F37,CodexTopic_Organisations_Factions,CodexTopicProperties.Title,派閥
CodexTopicData,0x0100006A00008F3B,CodexTopic_Organisations_Governmental,CodexTopicProperties.Title,政府機関
CodexTopicData,0x0100006A00008F3F,CodexTopic_Organisations_InterGovernmental,CodexTopicProperties.Title,国際機関
CodexTopicData,0x0100006A00008F43,CodexTopic_Organisations_MiscOrganisations,CodexTopicProperties.Title,その他の組織
CodexTopicData,0x0100006A00008F47,CodexTopic_Organisations_Political,CodexTopicProperties.Title,政治
CodexTopicData,0x0100006A00008F4B,CodexTopic_Organisations_PoliticalParties,CodexTopicProperties.Title,政党
