type,item_id,name_in_database,path,ja
ConnectionData,0x0100005800003FA6,Cabinet_AgricultureMinister_GusManger,ConnectionProperties.Name,ガス・マンガー
ConnectionData,0x0100005800003F75,Cabinet_ChiefOfStaff_LucianGalade,ConnectionProperties.Name,ルシアン・ガラド
ConnectionData,0x0100005800003F91,Cabinet_DefenceMinister_IosefLancea,ConnectionProperties.Name,ヨセフ・ランチェア
ConnectionData,0x0100005800003F83,Cabinet_EconomyMinister_SymonHoll,ConnectionProperties.Name,シモン・ホル
ConnectionData,0x0100005800003F98,Cabinet_EducationMinister_CiaraWalda,ConnectionProperties.Name,キアラ・ワルダ
ConnectionData,0x0100005800003F9F,Cabinet_ForeignMinister_DeividWisci,ConnectionProperties.Name,デイヴィド・ウィスキ
ConnectionData,0x0100005800003F7C,Cabinet_HealthMinister_PaskalBeniwoll,ConnectionProperties.Name,パスカル・ベニウォル
ConnectionData,0x0100005800003F6E,Cabinet_InteriorMinister_LileasGraf,ConnectionProperties.Name,リリアス・グラーフ
ConnectionData,0x0100005800003F8A,Cabinet_JusticeMinister_NiaMorgna,ConnectionProperties.Name,ニア・モルグナ
ConnectionData,0x01000067000003A0,Cabinet_VicePresident_AlbinClavin,ConnectionProperties.Name,アルビン・クラヴィン
ConnectionData,0x01000067000003A6,Cabinet_VicePresident_GloriaTory,ConnectionProperties.Name,グロリア・トーリー
ConnectionData,0x010000580000A9A2,Cabinet_VicePresident_LucianGalade,ConnectionProperties.Name,ルシアン・ガラド
ConnectionData,0x0100005800003F40,Cabinet_VicePresident_PetrVectern,ConnectionProperties.Name,ペトル・ベクターン
ConnectionData,0x0100006A000185D1,Council_ForeignAffairs_LaurentoEsquibel,ConnectionProperties.Name,ラウレント・エスキベル
ConnectionData,0x0100008E00002B0D,Council_ForeignAffairs_VinaToras,ConnectionProperties.Name,ヴィナ・トラス
ConnectionData,0x0100006500006B9B,Council_GrandVizier_AngelicaSazon,ConnectionProperties.Name,アンジェリカ・サゾン
