type,item_id,name_in_database,path,ja
ConnectionPositionData,0x010000650000724C,HODPosition_Speaker,ConnectionPositionProperties.Name,下院議長
ConnectionPositionData,0x0100005800009EC3,Position_AgricultureMinister,ConnectionPositionProperties.Name,農業農村開発大臣
ConnectionPositionData,0x010000580000A702,Position_ChiefJustice,ConnectionPositionProperties.Name,最高裁長官
ConnectionPositionData,0x0100005800009EA5,Position_ChiefOfStaff,ConnectionPositionProperties.Name,首席補佐官
ConnectionPositionData,0x0100005800009EB7,Position_DefenceMinister,ConnectionPositionProperties.Name,国防大臣
ConnectionPositionData,0x0100005800009EB1,Position_EconomyMinister,ConnectionPositionProperties.Name,経済大臣
ConnectionPositionData,0x0100005800009EC9,Position_EducationMinister,ConnectionPositionProperties.Name,教育大臣
ConnectionPositionData,0x0100008E00002B40,Position_ForeignAffairs,ConnectionPositionProperties.Name,外務評議官
ConnectionPositionData,0x0100005800009ECF,Position_ForeignAffairsMinister,ConnectionPositionProperties.Name,外務通商大臣
ConnectionPositionData,0x0100008E00002B38,Position_GrandVizier,ConnectionPositionProperties.Name,宰相
ConnectionPositionData,0x0100008E00002B30,Position_GrandWiseman,ConnectionPositionProperties.Name,教皇
ConnectionPositionData,0x0100005800009ED5,Position_HealthMinister,ConnectionPositionProperties.Name,保健大臣
ConnectionPositionData,0x0100008E00002B51,Position_HouseAzaro,ConnectionPositionProperties.Name,アザロ家当主
ConnectionPositionData,0x0100008E00002B59,Position_HouseSazon,ConnectionPositionProperties.Name,サゾン家当主
ConnectionPositionData,0x0100008E00002B61,Position_HouseToras,ConnectionPositionProperties.Name,トラス家当主
ConnectionPositionData,0x0100005800009EAB,Position_InteriorMinister,ConnectionPositionProperties.Name,内務大臣
ConnectionPositionData,0x0100005800009EBD,Position_JusticeMinister,ConnectionPositionProperties.Name,法務大臣
ConnectionPositionData,0x010000580000A71F,Position_Speaker,ConnectionPositionProperties.Name,議長
ConnectionPositionData,0x0100006A0000C5C2,Position_TreasuryEconomy,ConnectionPositionProperties.Name,財務経済評議官
ConnectionPositionData,0x0100005800009E9F,Position_VicePresident,ConnectionPositionProperties.Name,副大統領
ConnectionPositionData,0x0100008E00002B28,Position_WarInternalSecurity,ConnectionPositionProperties.Name,軍事保安評議官
