type,item_id,name_in_database,path,ja
ConversationData,0x010000C80000188C,Floating_Hugo_RoyalDecreeCounsel,ConversationProperties.Title,ウーゴとの会談
ConversationData,0x010000C80000188C,Floating_Hugo_RoyalDecreeCounsel,ConversationProperties.Subtitle,国王の居室、パラス・レズナ
ConversationData,0x010000460001A281,Turn01_A_Media,ConversationProperties.Title,報道戦略に関する会議
ConversationData,0x010000460001A281,Turn01_A_Media,ConversationProperties.Subtitle,ソードランド大統領執務室、マルーン宮殿
ConversationData,0x010000460001A27D,Turn01_A_PoliticalOverview,ConversationProperties.Title,現在の政治情勢についての報告
ConversationData,0x010000460001A27D,Turn01_A_PoliticalOverview,ConversationProperties.Subtitle,ソードランド大統領執務室、マルーン宮殿
ConversationData,0x01000052000207DD,Turn01_A_ReligiousCeremony,ConversationProperties.Title,国王の聖別式
ConversationData,0x01000052000207DD,Turn01_A_ReligiousCeremony,ConversationProperties.Subtitle,プラヴォ聖域
ConversationData,0x0100006400000905,Turn01_A_TorasPoliticalOverview,ConversationProperties.Title,宰相との政情概観
ConversationData,0x0100006400000905,Turn01_A_TorasPoliticalOverview,ConversationProperties.Subtitle,国王の大食堂、パラス・レズナ
ConversationData,0x0100005500007406,Turn01_EnT_CouncilBriefing,ConversationProperties.Title,王室評議会による初回説明
ConversationData,0x0100005500007406,Turn01_EnT_CouncilBriefing,ConversationProperties.Subtitle,評議会議場、パラス・レズナ
ConversationData,0x010000460001A275,Turn01_EnT_EconomicOverview,ConversationProperties.Title,現在の経済情勢についての報告
ConversationData,0x010000460001A275,Turn01_EnT_EconomicOverview,ConversationProperties.Subtitle,ホワイトルーム、マルーン宮殿
ConversationData,0x010000460001A279,Turn01_InT_Infrastructure,ConversationProperties.Title,インフラ計画案の検討
ConversationData,0x010000460001A279,Turn01_InT_Infrastructure,ConversationProperties.Subtitle,ブルー邸、ラハベン
ConversationData,0x010000460001A285,Turn01_Personal_Ball,ConversationProperties.Title,就任舞踏会のレセプション
ConversationData,0x010000460001A285,Turn01_Personal_Ball,ConversationProperties.Subtitle,ソードランド大統領公邸、ホルソード
ConversationData,0x010000550000740E,Turn01_P_FamilyIntroduction,ConversationProperties.Title,パラス・レズナの早朝
ConversationData,0x010000550000740E,Turn01_P_FamilyIntroduction,ConversationProperties.Subtitle,国王の大食堂、パラス・レズナ
ConversationData,0x010000460001A289,Turn01_SnO_MPShot,ConversationProperties.Title,緊急会議
ConversationData,0x010000460001A289,Turn01_SnO_MPShot,ConversationProperties.Subtitle,作戦指令室、マルーン宮殿
ConversationData,0x01000052000207E7,Turn01_SnO_SecurityMilitaryBriefing,ConversationProperties.Title,現在の治安情勢についての報告
ConversationData,0x01000052000207E7,Turn01_SnO_SecurityMilitaryBriefing,ConversationProperties.Subtitle,王立フォルチェ鋳造所、フォルチェ・ダトール
ConversationData,0x0100005500007401,Turn01_Start_Coronation,ConversationProperties.Title,戴冠式
ConversationData,0x0100005500007401,Turn01_Start_Coronation,ConversationProperties.Subtitle,戴冠式
ConversationData,0x010000460001A28D,Turn01_Start_Inauguration,ConversationProperties.Title,-
ConversationData,0x010000460001A28D,Turn01_Start_Inauguration,ConversationProperties.Subtitle,-
ConversationData,0x010000460001A29D,Turn02_A_AutocratBriefing,ConversationProperties.Title,最高裁長官オルソ・ホーカーとの会談
ConversationData,0x010000460001A29D,Turn02_A_AutocratBriefing,ConversationProperties.Subtitle,大統領の間、マルーン宮殿
ConversationData,0x010000460001A291,Turn02_A_ContractBribe,ConversationProperties.Title,マルーン宮殿での一日の終わり
ConversationData,0x010000460001A291,Turn02_A_ContractBribe,ConversationProperties.Subtitle,ソードランド大統領執務室、マルーン宮殿
ConversationData,0x010000460001A295,Turn02_A_MediaDeal,ConversationProperties.Title,マルセル・コロンティとの会談
ConversationData,0x010000460001A295,Turn02_A_MediaDeal,ConversationProperties.Subtitle,大統領専用車、コンリアトへの道中
ConversationData,0x010000460001A299,Turn02_A_ReformBriefing,ConversationProperties.Title,改革委員会の結果についての報告
ConversationData,0x010000460001A299,Turn02_A_ReformBriefing,ConversationProperties.Subtitle,ホワイトルーム、マルーン宮殿
ConversationData,0x010000640000023F,Turn02_FPnT_DiplomacyBriefing,ConversationProperties.Title,外交に関する評議会
