type,item_id,name_in_database,path,ja
CountryDetailsPanelData,0x0100006C00000D12,CountryDetails_Rizia,CountryDetailsPanelProperties.Title,リジア王国
CountryDetailsPanelData,0x0100006C00000D12,CountryDetails_Rizia,CountryDetailsPanelProperties.Leader,ロムス・トラス
CountryDetailsPanelData,0x0100006C00000D12,CountryDetails_Rizia,CountryDetailsPanelProperties.Capital,ポルテ・ドラゾン
CountryDetailsPanelData,0x0100006C00000D12,CountryDetails_Rizia,CountryDetailsPanelProperties.Subtitle,黄金に錨を下ろす
CountryDetailsPanelData,0x0100006C00000D12,CountryDetails_Rizia,CountryDetailsPanelProperties.Government,立憲君主制
CountryDetailsPanelData,0x0100006C00000D12,CountryDetails_Rizia,CountryDetailsPanelProperties.GdpWorldRank,第14位
CountryDetailsPanelData,0x0100006C00000D12,CountryDetails_Rizia,CountryDetailsPanelProperties.OfficialLanguage,リジア語
CountryDetailsPanelData,0x0100006C00000940,CountryDetails_Sordland,CountryDetailsPanelProperties.Title,ソードランド共和国
CountryDetailsPanelData,0x0100006C00000940,CountryDetails_Sordland,CountryDetailsPanelProperties.Leader,アントン・レイン
CountryDetailsPanelData,0x0100006C00000940,CountryDetails_Sordland,CountryDetailsPanelProperties.Capital,ホルソード
CountryDetailsPanelData,0x0100006C00000940,CountryDetails_Sordland,CountryDetailsPanelProperties.Subtitle,A Morgna wes core
CountryDetailsPanelData,0x0100006C00000940,CountryDetails_Sordland,CountryDetailsPanelProperties.Government,大統領制共和国
CountryDetailsPanelData,0x0100006C00000940,CountryDetails_Sordland,CountryDetailsPanelProperties.GdpWorldRank,第16位
CountryDetailsPanelData,0x0100006C00000940,CountryDetails_Sordland,CountryDetailsPanelProperties.OfficialLanguage,ソードランド語
