type,item_id,name_in_database,path,ja
HUDPeriodicStatModifierData,0x010000650000A16F,Rizia_Authority_Modifier_BaseMonarchRomus,HUDPeriodicStatModifierProperties.Description,{0} ロムス・トラス王により毎ターン
HUDPeriodicStatModifierData,0x010000650000DB35,Rizia_Authority_Modifier_CentralizedSecurity,HUDPeriodicStatModifierProperties.Description,{0} 治安の中央集権化により毎ターン
HUDPeriodicStatModifierData,0x010000650000E447,Rizia_Authority_Modifier_DastnuristApproval,HUDPeriodicStatModifierProperties.Description,{0} ダストヌリティ派の支持により毎ターン
HUDPeriodicStatModifierData,0x010000650000E436,Rizia_Authority_Modifier_DastnuristDisapproval,HUDPeriodicStatModifierProperties.Description,{0} ダストヌリティ派の反発により毎ターン
HUDPeriodicStatModifierData,0x010000C60000044E,Rizia_Authority_Modifier_ExpandedAdministration,HUDPeriodicStatModifierProperties.Description,{0} 行政機構の拡充により毎ターン
HUDPeriodicStatModifierData,0x010000C60000046B,Rizia_Authority_Modifier_GolcondistDisapproval,HUDPeriodicStatModifierProperties.Description,{0} ゴルコンド主義者の反発により毎ターン
HUDPeriodicStatModifierData,0x010000650000DB21,Rizia_Authority_Modifier_GoldenGuard,HUDPeriodicStatModifierProperties.Description,{0} 近衛兵により毎ターン
HUDPeriodicStatModifierData,0x0100008E00007728,Rizia_Authority_Modifier_HighPopularity,HUDPeriodicStatModifierProperties.Description,{0} 高い支持率により毎ターン
HUDPeriodicStatModifierData,0x010000650000DB28,Rizia_Authority_Modifier_IntelligenceServices,HUDPeriodicStatModifierProperties.Description,{0} 情報機関により毎ターン
HUDPeriodicStatModifierData,0x0100006500009CE9,Rizia_Authority_Modifier_Intermerkopum,HUDPeriodicStatModifierProperties.Description,{0} インテルメルコプム機構のために毎ターン
HUDPeriodicStatModifierData,0x0100008E000031EB,Rizia_Authority_Modifier_LargeProvincialProtest,HUDPeriodicStatModifierProperties.Description,{0} 地方の大規模な抗議により毎ターン
HUDPeriodicStatModifierData,0x0100008E000031A4,Rizia_Authority_Modifier_LosingMyTradition,HUDPeriodicStatModifierProperties.Description,{0} 伝統の衰退により毎ターン
