type,item_id,name_in_database,path,ja
MapTokenData,0x0100006900000831,Faction_Event_ATO,MapTokenProperties.Title,アルカシア条約機構
MapTokenData,0x0100006900000831,Faction_Event_ATO,MapTokenProperties.Subtitle,超大国同盟
MapTokenData,0x0100006900000831,Faction_Event_ATO,DescriptionProperties.Description,"アルカシア条約機構（ATO）は、1945年にアルカシア大統領レナルド・ルヴティエによって結成された政府間の軍事・経済同盟である。14の加盟国からなり、主としてアルカシアが主導し、経済協力とコンタナ条約機構に対する集団防衛の統一的な枠組みを築くことを目的とする。

ATOは資本主義経済をとる国が大半を占め、コンタナ連邦の影響力に対する均衡装置として機能している。その第一の目的は、社会主義の拡大を抑え、メルコパとその周辺の政治的・経済的な安定を守ることにある。

近年、同盟は核抑止を一層重視するようになった。核兵器が現代の軍事戦略の要となったことの反映である。ATOの協調は今や、共同抑止計画、ミサイル防衛の開発、加盟国間の安全保障統合の拡大にまで及んでいる。"
MapTokenData,0x0100006900000838,Faction_Event_CSP,MapTokenProperties.Title,コンタナ条約機構
MapTokenData,0x0100006900000838,Faction_Event_CSP,MapTokenProperties.Subtitle,超大国同盟
MapTokenData,0x0100006900000838,Faction_Event_CSP,DescriptionProperties.Description,"コンタナ条約機構（CSP）は、1946年末にコンタナ連邦議長レオン・マレニエフによって設立された政府間の軍事・経済同盟である。アルカシア条約機構（ATO）の創設に直接応じて結成されたCSPは、拡大するアルカシア資本主義の影響力に対抗する統一的な防衛・経済圏として機能している。

コンタナ連邦が主導するこの同盟は、資源の共有と中央集権的な貿易を行う計画経済国が中心である。その根幹の目的は、社会主義国の主権を守り、自由主義的な資本主義の影響がコンタナとその周辺へ広がるのを阻むことにある。

近年、CSPはヴァルグスランドなど志を同じくする国々との協力を深め、地政学的な足場をメルコパへ広げようとしてきた。軍事的な連携、思想的な連帯、地域的な提携を通じて、この機構は続く世界規模の角逐においてATO主導の動きに対する主たる重石であり続けている。"
MapTokenData,0x010000A10000426E,Faction_Event_GRACE,MapTokenProperties.Title,王室通商同盟ギルド
MapTokenData,0x010000A10000426E,Faction_Event_GRACE,MapTokenProperties.Subtitle,経済文化機構
MapTokenData,0x010000A10000426E,Faction_Event_GRACE,DescriptionProperties.Description,"王室通商同盟ギルド（G.R.A.C.E.）は、メルコパ、リカ、シナ、アンラカン諸島、コンタナなど各大陸の君主国のあいだで経済協力と交流を育むために設立された国際組織である。加盟国間の貿易・投資・外交関係を促すことで、GRACEは世界経済と国際関係において大きな役割を果たしてきた。

創設国の一つであるルンブルク王国はGRACEの有力国の一つであり、ほかにリジア王国、ソラディス諸男爵領、諸公国、ナールブルク、アル＝リカル聖王国、ヴェンドネサム連合、ナリプルナ王国などが加盟している。"
MapTokenData,0x0100006500009D8C,International_Event_HeljilandBlockade,MapTokenProperties.Title,ヘルジランド封鎖
MapTokenData,0x0100006500009D8C,International_Event_HeljilandBlockade,MapTokenProperties.Subtitle,ヘルジランド島
MapTokenData,0x0100006500009D8C,International_Event_HeljilandBlockade,DescriptionProperties.Description,"ヘルジランドは現在、ヴァルグスランド海軍によって完全に封鎖されている。この封鎖は、島の支配を奪うべく派兵するというヘーゲル首相の決定の一環と見られている。

発端は、任命されたアグノリア人総督に反対してヘルジランドで起きた暴力的な抗議であった。ヴァルグスランド側の情報では、アグノリアの治安部隊によって数百人が殺害され、その多くは島に住むヴァルグ系住民だったという。

ヴァルグスランドは今なおこの島を本土から失われた一部とみなしており、島の安全と平和の保障者を自任している。ヘルジランドに多数を占めるヴァルグ系住民もまた島をヴァルグスランドの一部と考えており、ヴァルグスランドの民族主義者たちは島が自国の不可分の一部であるとの主張を声高に唱えている。

封鎖はこの地域の交易と商業を大きく混乱させ、ヘルジランドのみならず近隣諸国にも影響を及ぼしている。緊張が高まり続けるなか、地域の市民の安全と生活が最大の懸念であり続けている。国際社会は事態を注視し、双方に自制と平和的解決を求めている。"
MapTokenData,0x0100006500009D82,International_Event_OperationBearTrap,MapTokenProperties.Title,熊の罠作戦
MapTokenData,0x0100006500009D82,International_Event_OperationBearTrap,MapTokenProperties.Subtitle,BFFとの戦い
MapTokenData,0x0100006500009D82,International_Event_OperationBearTrap,DescriptionProperties.Description,"ヴェーレンのスモラク大統領は、ブルディア自由戦線として知られる分離主義の武装集団に対する「熊の罠作戦」の開始を宣言した。ヴェゼク政府は同集団がヴェーレン国内に騒擾と暴力をもたらしたと非難し、政治的・民間の標的へのテロ攻撃の責任を負わせている。

作戦はこの地域におけるブルディア自由戦線の活動を封じることを狙いとし、とりわけヴェーレン北部のブルディア人居住地域に重点を置く。大統領は市民の安全に最大限の配慮をもって作戦を遂行し、罪なき人々への危害を防ぐためあらゆる必要な措置を講じると述べているが、国際社会はヴェゼク軍による過剰な武力行使を懸念している。

ブルディア人共同体に対するスモラク大統領のこれまでの姿勢、そして急ぎ導入された国際報道機関への一時的な取材禁止とあいまって、国際社会は事の推移を憂慮しつつ見守り、ヴェゼク政府に自制と作戦の透明性を求めている。"
MapTokenData,0x0100006500009D7A,International_Event_TradeWar,MapTokenProperties.Title,超大国間の貿易戦争
MapTokenData,0x0100006500009D7A,International_Event_TradeWar,MapTokenProperties.Subtitle,リカ湾
MapTokenData,0x0100006500009D7A,International_Event_TradeWar,DescriptionProperties.Description,"アルカシアとコンタナ連邦の緊張が高まったことで、リカ湾は世界の注目を集めることとなった。現在、リカ湾全域と北リカ海はCSP同盟によって封鎖されている。これにより中央洋の交易網は大きく乱れ、世界の通商路はこの地域を避けて迂回することとなり、深刻な物資不足と物価の高騰を招いている。

発端は、アルカシアが主導したニビヤでの政変であった。民主的に選ばれた政府が倒され、民族主義者のゼデユ・オグルンワ大佐が権力の座に就いた。これに応じてコンタナ連邦はリカ湾および北リカの封鎖を主導し、マルキア海と中央洋を結ぶ航路を断った。これが世界の貿易と商業に大きな混乱をもたらし、各国に影響を及ぼしている。"
MapTokenData,0xE3554F21B4A2D0C7,NeutralLens_Country_Zanza_Copy,MapTokenProperties.Title,民主ザンザ
MapTokenData,0xE3554F21B4A2D0C7,NeutralLens_Country_Zanza_Copy,CountryDetailsProperties.Capital,ラファラ
MapTokenData,0x0100006500000092,Rizia_City_Argno,MapTokenProperties.Title,アルグノ
MapTokenData,0x0100006500000092,Rizia_City_Argno,MapTokenProperties.Subtitle,ブレナス州
MapTokenData,0x0100008E000033CE,Rizia_City_Benievon,MapTokenProperties.Title,ベニエヴォン
MapTokenData,0x0100008E000033CE,Rizia_City_Benievon,MapTokenProperties.Subtitle,ヴァレンキリス州
MapTokenData,0x0100006500000064,Rizia_City_Bronaz,MapTokenProperties.Title,ブロナズ
MapTokenData,0x0100006500000064,Rizia_City_Bronaz,MapTokenProperties.Subtitle,リジア・インペリイ州
MapTokenData,0x01000065000000A9,Rizia_City_FolceDator,MapTokenProperties.Title,フォルチェ・ダトール
MapTokenData,0x01000065000000A9,Rizia_City_FolceDator,MapTokenProperties.Subtitle,カルデス＝モンタクラル州
MapTokenData,0x010000650000007B,Rizia_City_FortAles,MapTokenProperties.Title,アレス要塞
MapTokenData,0x010000650000007B,Rizia_City_FortAles,MapTokenProperties.Subtitle,パレス行政区
MapTokenData,0x010000650000004D,Rizia_City_Havas,MapTokenProperties.Title,ハヴァス
MapTokenData,0x010000650000004D,Rizia_City_Havas,MapTokenProperties.Subtitle,カルデス＝モンタクラル州
MapTokenData,0x01000064000002D0,Rizia_City_Iza,MapTokenProperties.Title,イザ
MapTokenData,0x01000064000002D0,Rizia_City_Iza,MapTokenProperties.Subtitle,イザ都市国家
