type,item_id,name_in_database,path,ja
ReminderPanelData,0x01000046000243D3,ReminderPanel_DraftConstitutionalChanges,ReminderPanelProperties.Title,現在の提案
ReminderPanelData,0x01000046000243D3,ReminderPanel_DraftConstitutionalChanges,ReminderPanelProperties.Subtitle,憲法改正草案
ReminderPanelData,0x01000046000243D3,ReminderPanel_DraftConstitutionalChanges,ReminderPanelProperties.HeaderText,Subisiam av Konstitutia dei Sordland
ReminderPanelData,0x0100006A00004DC0,ReminderPanel_EmergencyAct,ReminderPanelProperties.Title,現在の非常事態
ReminderPanelData,0x0100006A00004DC0,ReminderPanel_EmergencyAct,ReminderPanelProperties.Subtitle,非常事態法
ReminderPanelData,0x0100006A00004DC0,ReminderPanel_EmergencyAct,ReminderPanelProperties.HeaderText,Dekre av Prosdenten dei Sordland
ReminderPanelData,0x0100009A00003843,ReminderPanel_MorellaNationalizationDemands,ReminderPanelProperties.Title,現在の要求
ReminderPanelData,0x0100009A00003843,ReminderPanel_MorellaNationalizationDemands,ReminderPanelProperties.Subtitle,モレラ国有化要求
ReminderPanelData,0x0100009A00003843,ReminderPanel_MorellaNationalizationDemands,ReminderPanelProperties.HeaderText,Demandius Morella axa Rizia Imperii
ReminderPanelData,0x0100009A0000382A,ReminderPanel_WehlenTradeNegotiations,ReminderPanelProperties.Title,現在の通商協定
ReminderPanelData,0x0100009A0000382A,ReminderPanel_WehlenTradeNegotiations,ReminderPanelProperties.Subtitle,ヴェーレン交渉の約定
ReminderPanelData,0x0100009A0000382A,ReminderPanel_WehlenTradeNegotiations,ReminderPanelProperties.HeaderText,Negotius Wehzeki axa Rizia Imperii
