type,item_id,name_in_database,path,ja
TimelineElementData,0x010000640000064A,Rizia_Timeline_Prologue_1,TimelineElementProperties.Year,1905
TimelineElementData,0x010000640000064A,Rizia_Timeline_Prologue_1,TimelineElementProperties.Description,王子誕生
TimelineElementData,0x0100006400000680,Rizia_Timeline_Prologue_10,TimelineElementProperties.Year,1933
TimelineElementData,0x0100006400000680,Rizia_Timeline_Prologue_10,TimelineElementProperties.Description,ルンブルク協調の時代
TimelineElementData,0x0100006400000686,Rizia_Timeline_Prologue_11,TimelineElementProperties.Year,1933
TimelineElementData,0x0100006400000686,Rizia_Timeline_Prologue_11,TimelineElementProperties.Description,ヴェーレン内戦
TimelineElementData,0x0100006A0001A1AE,Rizia_Timeline_Prologue_12,TimelineElementProperties.Year,1937
TimelineElementData,0x0100006A0001A1AE,Rizia_Timeline_Prologue_12,TimelineElementProperties.Description,スー・オミナの台頭
TimelineElementData,0x010000640000068C,Rizia_Timeline_Prologue_13,TimelineElementProperties.Year,1942
TimelineElementData,0x010000640000068C,Rizia_Timeline_Prologue_13,TimelineElementProperties.Description,運命の旅
TimelineElementData,0x010000650000DC4F,Rizia_Timeline_Prologue_14,TimelineElementProperties.Year,1946
TimelineElementData,0x010000650000DC4F,Rizia_Timeline_Prologue_14,TimelineElementProperties.Description,停滞の時代
TimelineElementData,0x0100006400000692,Rizia_Timeline_Prologue_15,TimelineElementProperties.Year,1948
TimelineElementData,0x0100006400000692,Rizia_Timeline_Prologue_15,TimelineElementProperties.Description,ラインハルト公の擁立
TimelineElementData,0x0100006400000698,Rizia_Timeline_Prologue_16,TimelineElementProperties.Year,1949
TimelineElementData,0x0100006400000698,Rizia_Timeline_Prologue_16,TimelineElementProperties.Description,国王崩御
TimelineElementData,0x010000640000069E,Rizia_Timeline_Prologue_17,TimelineElementProperties.Year,1949
TimelineElementData,0x010000640000069E,Rizia_Timeline_Prologue_17,TimelineElementProperties.Description,国王万歳
TimelineElementData,0x0100006400000650,Rizia_Timeline_Prologue_2,TimelineElementProperties.Year,1918
TimelineElementData,0x0100006400000650,Rizia_Timeline_Prologue_2,TimelineElementProperties.Description,リザ女王の死
TimelineElementData,0x0100006400000656,Rizia_Timeline_Prologue_3,TimelineElementProperties.Year,1921
TimelineElementData,0x0100006400000656,Rizia_Timeline_Prologue_3,TimelineElementProperties.Description,パレス独立宣言
TimelineElementData,0x010000640000065C,Rizia_Timeline_Prologue_4,TimelineElementProperties.Year,1923
TimelineElementData,0x010000640000065C,Rizia_Timeline_Prologue_4,TimelineElementProperties.Description,パレス戦争の勃発
