type,item_id,name_in_database,path,ja
TokenStatusEffectData,0x0100005100013CC5,City_AgriculturalGrowth,TokenStatusEffectProperties.Title,農業の成長
TokenStatusEffectData,0x0100005100013CC5,City_AgriculturalGrowth,TokenStatusEffectProperties.Subtitle,この都市は、さまざまな経済的・地理的要因により農業の成長が進んでいる。
TokenStatusEffectData,0x0100005100013CDD,City_AntelRockPrison,TokenStatusEffectProperties.Title,アンテル・ロック刑務所
TokenStatusEffectData,0x0100005100013CDD,City_AntelRockPrison,TokenStatusEffectProperties.Subtitle,アンテル・ロックはソードランドで最も厳重な重警備刑務所であり、その多くが政治犯に充てられている。
TokenStatusEffectData,0x0100005100013CDD,City_AntelRockPrison,TokenStatusEffectProperties.CodexEntryTitle,アンテル・ロック刑務所
TokenStatusEffectData,0x0100005100013CA7,City_AntiquatedRailway,TokenStatusEffectProperties.Title,老朽化した鉄道
TokenStatusEffectData,0x0100005100013CA7,City_AntiquatedRailway,TokenStatusEffectProperties.Subtitle,この地の鉄道網は前世紀半ばにさかのぼるもので、改修を必要としている。一部の路線は危険の増大と車両の不足により休止されている。
TokenStatusEffectData,0x0100006900000242,City_ArcasiaAccess,TokenStatusEffectProperties.Title,アルカシアの航空利用権
TokenStatusEffectData,0x0100006900000242,City_ArcasiaAccess,TokenStatusEffectProperties.Subtitle,エルローリー空軍基地は拡張され、現在はソードランド空軍の要員に加えて数千名のアルカシア空軍要員が駐留している。アルカシア空軍は基地内に独自の区画を持つほか、基地全体の整備・給油設備を利用できる。
TokenStatusEffectData,0x0100005100014282,City_ArmedUnrest,TokenStatusEffectProperties.Title,武装勢力
TokenStatusEffectData,0x0100005100014282,City_ArmedUnrest,TokenStatusEffectProperties.Subtitle,この都市は武装集団による暴力に日常的にさらされている。暴力的な抗議や武装襲撃が街頭で頻繁に起きるようになっている。
TokenStatusEffectData,0x0100005100014854,City_ArmyControl,TokenStatusEffectProperties.Title,軍の統制下
TokenStatusEffectData,0x0100005100014854,City_ArmyControl,TokenStatusEffectProperties.Subtitle,ソードランド軍がこの都市の統制を掌握し、脅威からの安全確保にあたっている。
TokenStatusEffectData,0x0100006500006092,City_ArmyGarrison,TokenStatusEffectProperties.Title,陸軍駐屯地
TokenStatusEffectData,0x0100006500006092,City_ArmyGarrison,TokenStatusEffectProperties.Subtitle,ソードランド軍の一個軍が、この都市と周辺地方の基地に駐留している。
TokenStatusEffectData,0x0100007400006D92,City_BergiaAutonomousZone,TokenStatusEffectProperties.Title,ベルギア自治区
TokenStatusEffectData,0x0100007400006D92,City_BergiaAutonomousZone,TokenStatusEffectProperties.Subtitle,この都市は「ベルギア自治区」の一部であり、デイルの本部からベルギア総督が率いるベルギア地方議会によって統治されている。
TokenStatusEffectData,0x0100007400006D92,City_BergiaAutonomousZone,TokenStatusEffectProperties.CodexEntryTitle,ベルギア自治区
TokenStatusEffectData,0x0100005100013E8A,City_BergiaSpecialZone,TokenStatusEffectProperties.Title,ベルギア特別区
TokenStatusEffectData,0x0100005100013E8A,City_BergiaSpecialZone,TokenStatusEffectProperties.Subtitle,この都市は「ベルギア特別区」の一部であり、デイルにある特別区本部からベルギア総督によって統治されている。
TokenStatusEffectData,0x0100005100013E8A,City_BergiaSpecialZone,TokenStatusEffectProperties.CodexEntryTitle,ベルギア特別区
TokenStatusEffectData,0x010000690000022D,City_BFFSanctuaries,TokenStatusEffectProperties.Title,聖堂内のBFF宣伝
TokenStatusEffectData,0x010000690000022D,City_BFFSanctuaries,TokenStatusEffectProperties.Subtitle,報告によれば、この地域でBFFのために直接または間接に働く聖職者の広範な網が発覚した。国家に認可された身分でありながら、その多くが分離主義の宣伝を広め、暴力的なゴルコンド主義の蜂起を呼びかけていたことが判明している。
TokenStatusEffectData,0x010000690000022D,City_BFFSanctuaries,TokenStatusEffectProperties.CodexEntryTitle,ブルディア自由戦線
TokenStatusEffectData,0x0100006900000249,City_BludishRefugees,TokenStatusEffectProperties.Title,難民キャンプ
TokenStatusEffectData,0x0100006900000249,City_BludishRefugees,TokenStatusEffectProperties.Subtitle,この都市には現在、多数の難民が身を寄せている。その大半はブルディア人で、近くヴェーレンから逃れてきた者たちである。多くは市外の仮設キャンプで暮らしており、生活環境は極めて劣悪である。キャンプに入れなかった者は職を見つけられずにおり、そのほとんどが住まいを持たない。
TokenStatusEffectData,0x0100005100013EC5,City_Capital,TokenStatusEffectProperties.Title,首都
TokenStatusEffectData,0x0100005100013EC5,City_Capital,TokenStatusEffectProperties.Subtitle,ホルソードは、ソードランド共和国および大ホルソード地方の首府である。
TokenStatusEffectData,0x010000650000607D,City_DecreasedForeignEnergyInvestments,TokenStatusEffectProperties.Title,外国エネルギー投資の減少
TokenStatusEffectData,0x010000650000607D,City_DecreasedForeignEnergyInvestments,TokenStatusEffectProperties.Subtitle,この都市はエネルギー部門で外国投資の大規模な流出に見舞われている。これは地域産業と経済全体に悪影響を及ぼしつつある。
TokenStatusEffectData,0x01000069000002E2,City_DecreasingHomelessness,TokenStatusEffectProperties.Title,ホームレスの減少
TokenStatusEffectData,0x01000069000002E2,City_DecreasingHomelessness,TokenStatusEffectProperties.Subtitle,報告によれば、この都市の住まいを持たない人々のかなりの部分が、ここ数か月で職を得て住まいを確保できている。
TokenStatusEffectData,0x0100005100013CD1,City_DecreasingJobOpenings,TokenStatusEffectProperties.Title,求人の減少
TokenStatusEffectData,0x0100005100013CD1,City_DecreasingJobOpenings,TokenStatusEffectProperties.Subtitle,経済環境全体の不健全さにより、この都市では求人が大きく減少している。これは社会経済状況のさらなる後退と貧困を招きかねない。
TokenStatusEffectData,0x0100005100013FEB,City_DecreasingPoverty,TokenStatusEffectProperties.Title,貧困の減少
