type,item_id,name_in_database,path,ja
WarFragmentData,0x0100009A00000E61,WarFragment_1_1,WarFragmentProperties.HubWarFragmentTitle,作戦: 黄金の盾 ― 第一段階
WarFragmentData,0x0100009A00000E61,WarFragment_1_1,WarFragmentProperties.HubWarFragmentSubtitle,パレス侵攻
WarFragmentData,0x0100009A000014AC,WarFragment_1_2,WarFragmentProperties.HubWarFragmentTitle,作戦: 黄金の盾 ― 第二段階
WarFragmentData,0x0100009A000014AC,WarFragment_1_2,WarFragmentProperties.HubWarFragmentSubtitle,パレス侵攻
WarFragmentData,0x0100009A000014B5,WarFragment_1_3,WarFragmentProperties.HubWarFragmentTitle,作戦: 黄金の盾 ― 第三段階
WarFragmentData,0x0100009A000014B5,WarFragment_1_3,WarFragmentProperties.HubWarFragmentSubtitle,パレス侵攻
WarFragmentData,0x0100009A000014BE,WarFragment_2_1,WarFragmentProperties.HubWarFragmentTitle,作戦: 完全なる静謐 ― 第一段階
WarFragmentData,0x0100009A000014BE,WarFragment_2_1,WarFragmentProperties.HubWarFragmentSubtitle,パレス侵攻
WarFragmentData,0x0100009A000014C7,WarFragment_2_2,WarFragmentProperties.HubWarFragmentTitle,作戦: 完全なる静謐 ― 第二段階
WarFragmentData,0x0100009A000014C7,WarFragment_2_2,WarFragmentProperties.HubWarFragmentSubtitle,パレス侵攻
WarFragmentData,0x0100009A000014D0,WarFragment_2_3,WarFragmentProperties.HubWarFragmentTitle,作戦: 完全なる静謐 ― 第三段階
WarFragmentData,0x0100009A000014D0,WarFragment_2_3,WarFragmentProperties.HubWarFragmentSubtitle,パレス侵攻
WarFragmentData,0x0100009A0000A550,WarFragment_Tutorial,WarFragmentProperties.HubWarFragmentTitle,パレス侵攻
WarFragmentData,0x0100009A0000A550,WarFragment_Tutorial,WarFragmentProperties.HubWarFragmentSubtitle,作戦チュートリアル
